date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:16:21	10665/10665	---MC-	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202024%2013:16:20%20GMT	https://localhost:7064/	C:/Users/HP%20computer/Downloads/HomeCareNomanClient/localhost_7064/index.html	(from )
06:16:21	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Oct%202024%2013:16:20%20GMT	https://localhost:7064/robots.txt		(from )
06:16:21	162720/162720	---M--	200	added ('OK')	text/css	etag:%221db14a831c8a3a0%22	https://localhost:7064/lib/bootstrap/dist/css/bootstrap.min.css	C:/Users/HP%20computer/Downloads/HomeCareNomanClient/localhost_7064/lib/bootstrap/dist/css/bootstrap.min.css	(from https://localhost:7064/)
06:16:21	6194/6194	---M--	200	added ('OK')	text/css	etag:%221db158a0d4734b2%22	https://localhost:7064/css/site.css	C:/Users/HP%20computer/Downloads/HomeCareNomanClient/localhost_7064/css/site.css	(from https://localhost:7064/)
06:16:22	19178/19178	---M--	200	added ('OK')	image/jpeg	etag:%221db14c2a743e8ea%22	https://localhost:7064/Images/Banner/logo.jpg	C:/Users/HP%20computer/Downloads/HomeCareNomanClient/localhost_7064/Images/Banner/logo.jpg	(from https://localhost:7064/)
06:16:22	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Oct%202024%2013:16:22%20GMT	https://localhost:7064/Images/Banner/banner5.jpg	C:/Users/HP%20computer/Downloads/HomeCareNomanClient/localhost_7064/Images/Banner/banner5.3.delayed	(from https://localhost:7064/)
06:16:22	41154/41154	---M--	200	added ('OK')	image/webp	etag:%221db14d02ab760c2%22	https://localhost:7064/Images/Services/cctvimg.webp	C:/Users/HP%20computer/Downloads/HomeCareNomanClient/localhost_7064/Images/Services/cctvimg.webp	(from https://localhost:7064/)
06:16:23	443996/443996	---M--	200	added ('OK')	image/png	etag:%221db14d252094adc%22	https://localhost:7064/Images/Services/Electric.png	C:/Users/HP%20computer/Downloads/HomeCareNomanClient/localhost_7064/Images/Services/Electric.png	(from https://localhost:7064/)
06:16:23	78182/78182	---M--	200	added ('OK')	image/webp	etag:%221db14d436a4b066%22	https://localhost:7064/Images/Services/hmdecore.webp	C:/Users/HP%20computer/Downloads/HomeCareNomanClient/localhost_7064/Images/Services/hmdecore.webp	(from https://localhost:7064/)
06:16:24	10087444/10087444	---M--	200	added ('OK')	image/jpeg	etag:%221db14b8e9fe0a14%22	https://localhost:7064/Images/Services/plumber.jpg	C:/Users/HP%20computer/Downloads/HomeCareNomanClient/localhost_7064/Images/Services/plumber.jpg	(from https://localhost:7064/)
06:16:24	78468/78468	---M--	200	added ('OK')	text/javascript	etag:%221db14a831cbea84%22	https://localhost:7064/lib/bootstrap/dist/js/bootstrap.bundle.min.js	C:/Users/HP%20computer/Downloads/HomeCareNomanClient/localhost_7064/lib/bootstrap/dist/js/bootstrap.bundle.min.js	(from https://localhost:7064/)
06:16:24	89501/89501	---M--	200	added ('OK')	text/javascript	etag:%221db14a831cb859d%22	https://localhost:7064/lib/jquery/dist/jquery.min.js	C:/Users/HP%20computer/Downloads/HomeCareNomanClient/localhost_7064/lib/jquery/dist/jquery.min.js	(from https://localhost:7064/)
06:16:24	6115/6115	---M--	200	added ('OK')	text/javascript	etag:%221db054f2c382ae3%22	https://localhost:7064/js/main.js	C:/Users/HP%20computer/Downloads/HomeCareNomanClient/localhost_7064/js/main.js	(from https://localhost:7064/)
06:16:24	31609/31609	---M--	200	added ('OK')	image/png	etag:%221db14d76bffe579%22	https://localhost:7064/Images/Social/whatsapp.png	C:/Users/HP%20computer/Downloads/HomeCareNomanClient/localhost_7064/Images/Social/whatsapp.png	(from https://localhost:7064/)
06:16:25	153506/153506	---MC-	200	added ('OK')	text/javascript	date:Thu,%2003%20Oct%202024%2013:16:24%20GMT	https://localhost:7064/_vs/browserLink	C:/Users/HP%20computer/Downloads/HomeCareNomanClient/localhost_7064/_vs/browserLink	(from https://localhost:7064/)
06:16:25	13766/13766	---M--	200	added ('OK')	application/javascript	date:Thu,%2003%20Oct%202024%2013:16:25%20GMT	https://localhost:7064/_framework/aspnetcore-browser-refresh.js	C:/Users/HP%20computer/Downloads/HomeCareNomanClient/localhost_7064/_framework/aspnetcore-browser-refresh.js	(from https://localhost:7064/)
06:16:25	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Oct%202024%2013:16:25%20GMT	https://localhost:7064/images/hero-bg.jpg	C:/Users/HP%20computer/Downloads/HomeCareNomanClient/localhost_7064/images/hero-bg.e.delayed	(from https://localhost:7064/css/site.css)
